index,image,sound,text,options,option 1,option 2,end,end order
0,0.jpg,0.mp3,رحلةُ ليلى إلى جبالِ الطائف,no,,,no,
1,1.jpg,1.mp3,"في يومٍ من الأيامِ، قرَّرَتْ ليلى وأصدقاؤها الذهابَ في رحلةٍ إلى جبالِ الطائفِ. كانت الطائفُ مشهورةً بجبالها الشاهقةِ وحدائقها الجميلةِ المليئةِ بالورودِ الطائفيةِ العطرةِ. عندما وصلوا إلى الجبالِ، رأوا أشياءَ مدهشةً. ",no,,,no,
2,2.jpg,2.mp3,ماذا سيفعلونَ أولًا؟ الخَيَارُ الأول:  يستكشفونَ الغابةَ الصغيرةَ ويبحثونَ عن الورودِ الطائفيةِ. الخَيَارُ  الثاني: يتسلقونَ الجبلَ لمشاهدةِ المناظرِ الرائعةِ من الأعلى.,yes,3,7,no,
3,3.jpg,3.mp3,"بدأتْ ليلى وأصدقاؤها في استكشافِ الغابةِ الصغيرةِ، ووجدوا الورودَ الطائفيةَ ذاتَ الرائحةِ الرائعةِ. جمعتْ ليلى وأصدقاؤها باقةً صغيرةً من الورودِ لتزيينِ منزلِهم.",no,,,no,
4,4.jpg,4.mp3,ماذا سيفعلونَ بعدَ ذلك؟ الخَيَارُ الأول:   يأخذونَ استراحةً لِتَنَاولِ الجَرِيشِ. الخَيَارُ الثاني:  يتعلمونَ من مُرْشِدٍ محلِّيٍّ كيفَ تُزرعُ الورودُ.,yes,5,6,no,
5,5.jpg,5.mp3,"جَلَسُوا جميعًا تحتَ شجرةٍ كبيرةٍ وأخرجتْ ليلى وجبةَ الجريشِ التي أعدَّتْها والدَتُها. وأثناءَ تناولِهم للجريشِ اللذيذِ، قالتْ ليلى لأصدقائها: ""هل تعلمونَ أنَّ الجريشَ هوَ الطبقُ الوطنيُّ للمملكةِ العربيةِ السعوديةِ؟   نظرَ الأصدقاءُ وقالَ أحدُهم: ""يا لَلرَّوْعَةِ! إنَّهُ طبقٌ لذيذٌ.  ",no,,,yes,"3 , 5"
6,6.jpg,6.mp3,"علَّمَهُم المرشدُ المحلِّيُّ عن الورودِ الطائفيةِ وكيفَ تُزرعُ وتُجْمَعُ لاستخدامِها في إنتاجِ العطورِ الشهيرةِ. كانت ليلى تشعرُ بالدهشةِ، وأرادتْ أنْ تتعلَّمَ المزيدَ عن هذا التراثِ الغنيُّ.",no,,,yes,"3 , 6"
7,7.jpg,7.mp3,"تسلَّقتْ ليلى وأصدِقاءُها  الجبلَ بصعوبةٍ، لكنَّ المنظرَ من الأعلى كان يستحقُّ الجهد. شاهدوا المناظرَ الطبيعيةَ الجميلةَ التي تمتدُّ حتى الأفق.",no,,,no,
8,8.jpg,8.mp3,"ماذا سيفعلونَ بعدَ التسلُّقِ؟ الخَيَارُ الأول:  يأخذونَ استراحةً لتناولِ العريكةِ الجنوبيةِ. الخَيَارُ الثاني: يلعبونَ لعبةَ ""الغُمَّيضة"" بينَ الصخورِ.",yes,9,10,no,
9,9.jpg,9.mp3,"جلسُوا جميعًا وتناولوا طبقَ العريكةِ، وتحدثوا عن تقاليدِ الطبخِ في جنوبِ المملكةِ العربيةِ السعوديةِ، وخاصَّةً أبها، وأَنَّ لكلِّ منطقةٍ في السعوديةِ طعامُها المميزُ.",no,,,yes,"7 , 9"
10,10.jpg,10.mp3,"بدأتْ ليلى وأصدقاؤها يلعبونَ لعبةَ ""الغُمَّيضة""، واختبؤوا بينَ الصخورِ، وضحِكوا كثيرًا أثناءَ محاولةِ العثورِ على بعضِهم البعض.",no,,,yes,"7 , 10"
